   Tiefe	qc
     (m)	    (MPa)
7,98	2,55
8	2,58
8,02	2,63
8,04	2,69
8,06	2,72
8,08	2,73
8,1	2,72
8,12	2,72
8,14	2,71
8,16	2,73
8,18	2,77
8,2	2,79
8,22	2,79
8,24	2,81
8,26	2,86
8,28	2,98
8,3	3,08
8,32	3,21
8,34	3,38
8,36	3,52
8,38	3,62
8,4	3,72
8,42	3,81
8,44	3,79
8,46	3,80
8,48	3,78
8,5	3,67
8,52	3,43
8,54	3,29
8,56	3,15
8,58	2,96
8,6	2,87
8,62	2,85
8,64	2,90
8,66	3,13
8,68	3,42
8,7	3,61
8,72	3,74
8,74	3,79
8,76	3,86
8,78	4,01
8,8	4,17
8,82	4,20
8,84	4,08
8,86	3,87
8,88	3,65
8,9	3,42
8,92	3,26
8,94	3,10
8,96	2,94
8,98	2,89
9	2,90
9,02	2,91
9,04	2,89
9,06	2,86
9,08	2,81
9,1	2,73
9,12	2,64
9,14	2,57
9,16	2,51
9,18	2,44
9,2	2,42
9,22	2,44
9,24	2,47
9,26	2,48
9,28	2,50
9,3	2,50
9,32	2,46
9,34	2,39
9,36	2,34
9,38	2,29
9,4	2,23
9,42	2,17
9,44	2,14
9,46	2,12
9,48	2,11
9,5	2,16
9,52	2,25
9,54	2,35
9,56	2,28
9,58	2,26
9,6	2,27
9,62	2,27
9,64	2,26
9,66	2,22
9,68	2,12
9,7	2,03
9,72	1,97
9,74	1,91
9,76	1,87
9,78	1,84
9,8	1,82
9,82	1,82
9,84	1,84
9,86	1,94
9,88	2,04
9,9	2,17
9,92	2,29
9,94	2,39
9,96	2,43
9,98	2,53
10	2,95
10,02	3,85
10,04	5,14
10,06	6,50
10,08	7,28
10,1	7,43
10,12	7,30
10,14	6,93
10,16	6,37
10,18	5,65
10,2	4,81
10,22	4,07
10,24	3,52
10,26	3,03
10,28	2,48
10,3	2,04
10,32	1,79
10,34	1,69
10,36	1,66
10,38	1,66
10,4	1,66
10,42	1,66
10,44	1,65
10,46	1,64
10,48	1,63
10,5	1,61
10,52	1,57
10,54	1,53
10,56	1,50
10,58	1,48
10,6	1,44
10,62	1,41
10,64	1,38
10,66	1,35
10,68	1,31
10,7	1,30
10,72	1,30
10,74	1,31
10,76	1,30
10,78	1,28
10,8	1,30
10,82	1,36
10,84	1,25
10,86	1,23
10,88	1,23
10,9	1,24
10,92	1,25
10,94	1,27
10,96	1,33
10,98	1,42
11	1,53
11,02	1,65
11,04	1,76
11,06	1,90
11,08	2,03
11,1	2,11
11,12	2,21
11,14	2,29
11,16	2,41
11,18	2,52
11,2	2,59
11,22	2,68
11,24	2,79
11,26	2,93
11,28	3,07
11,3	3,18
11,32	3,22
11,34	3,19
11,36	3,15
11,38	3,05
11,4	2,93
11,42	2,78
11,44	2,73
11,46	3,24
11,48	4,25
11,5	5,24
11,52	6,04
11,54	6,59
11,56	6,88
11,58	6,82
11,6	6,48
11,62	5,97
11,64	5,31
11,66	4,75
11,68	4,29
11,7	3,99
11,72	3,81
11,74	3,74
11,76	3,76
11,78	3,76
11,8	3,64
11,82	3,43
11,84	3,21
11,86	3,04
11,88	2,92
11,9	2,82
11,92	2,73
11,94	2,57
11,96	2,37
11,98	2,14
12	1,90
12,02	1,72
12,04	1,60
12,06	1,55
12,08	1,56
12,1	1,59
12,12	1,60
12,14	1,59
12,16	1,59
12,18	1,62
12,2	1,67
12,22	1,70
12,24	1,70
12,26	1,71
12,28	1,74
12,3	1,78
12,32	1,82
12,34	1,88
12,36	1,96
12,38	2,00
12,4	2,00
12,42	1,95
12,44	1,85
12,46	1,84
12,48	1,93
12,5	2,01
12,52	1,91
12,54	1,83
12,56	1,83
12,58	1,85
12,6	1,91
12,62	1,95
12,64	1,98
12,66	2,05
12,68	2,10
12,7	2,13
12,72	2,18
12,74	2,24
12,76	2,29
12,78	2,26
12,8	2,12
12,82	2,02
12,84	2,08
12,86	2,20
12,88	2,32
12,9	2,33
12,92	2,23
12,94	2,10
12,96	2,00
12,98	1,91
13	1,82
13,02	1,74
13,04	1,66
13,06	1,61
13,08	1,56
13,1	1,51
13,12	1,46
13,14	1,44
13,16	1,42
13,18	1,39
13,2	1,36
13,22	1,32
13,24	1,29
13,26	1,26
13,28	1,23
13,3	1,19
13,32	1,17
13,34	1,17
13,36	1,17
13,38	1,18
13,4	1,17
13,42	1,15
13,44	1,17
13,46	1,24
13,48	1,31
13,5	1,32
13,52	1,26
13,54	1,23
13,56	1,21
13,58	1,19
13,6	1,18
13,62	1,18
13,64	1,18
13,66	1,19
13,68	1,22
13,7	1,27
13,72	1,34
13,74	1,44
13,76	1,61
13,78	1,86
13,8	2,11
13,82	2,32
13,84	2,43
13,86	2,46
13,88	2,49
13,9	2,52
13,92	2,56
13,94	2,59
13,96	2,64
13,98	2,68
14	2,70
14,02	2,68
14,04	2,66
14,06	2,61
14,08	2,52
14,1	2,39
14,12	2,25
14,14	2,06
14,16	1,85
14,18	1,69
14,2	1,63
14,22	1,67
14,24	1,78
14,26	1,90
14,28	1,98
14,3	1,97
14,32	1,91
14,34	1,83
14,36	1,75
14,38	1,72
14,4	1,74
14,42	1,78
14,44	1,84
14,46	1,98
14,48	2,29
14,5	2,60
14,52	2,43
14,54	2,29
14,56	2,20
14,58	2,15
14,6	2,13
14,62	2,06
14,64	1,98
14,66	1,92
14,68	1,82
14,7	1,72
14,72	1,64
14,74	1,58
14,76	1,58
14,78	1,66
14,8	1,85
14,82	2,08
14,84	2,30
14,86	2,39
14,88	2,37
14,9	2,30
14,92	2,18
14,94	2,03
14,96	1,88
14,98	1,75
15	1,68
15,02	1,64
15,04	1,60
15,06	1,59
15,08	1,62
15,1	1,65
15,12	1,69
15,14	1,73
15,16	1,76
15,18	1,78
15,2	1,81
15,22	1,82
15,24	1,81
15,26	1,79
15,28	1,76
15,3	1,73
15,32	1,68
15,34	1,65
15,36	1,64
15,38	1,60
15,4	1,58
15,42	1,57
15,44	1,71
15,46	1,88
15,48	2,05
15,5	2,00
15,52	1,92
15,54	1,82
15,56	1,73
15,58	1,66
15,6	1,65
15,62	1,71
15,64	1,78
15,66	1,81
15,68	1,78
15,7	1,72
15,72	1,72
15,74	1,70
15,76	1,70
15,78	1,71
15,8	1,70
15,82	1,72
15,84	1,76
15,86	1,84
15,88	1,98
15,9	2,11
15,92	2,20
15,94	2,18
15,96	2,13
15,98	2,12
16	2,08
16,02	2,04
16,04	2,02
16,06	2,00
16,08	1,95
16,1	1,86
16,12	1,78
16,14	1,71
16,16	1,68
16,18	1,67
16,2	1,69
16,22	1,72
16,24	1,80
16,26	1,91
16,28	2,02
16,3	2,12
16,32	2,17
16,34	2,17
16,36	2,16
16,38	2,15
16,4	2,13
16,42	2,14
16,44	2,27
16,46	2,40
16,48	2,50
16,5	2,57
16,52	2,65
16,54	2,73
16,56	2,85
16,58	3,05
16,6	3,25
16,62	3,42
16,64	3,57
16,66	3,68
16,68	3,80
16,7	3,91
16,72	4,00
16,74	4,00
16,76	3,97
16,78	3,93
16,8	3,84
16,82	3,72
16,84	3,58
16,86	3,42
16,88	3,28
16,9	3,15
16,92	3,07
16,94	3,04
16,96	3,01
16,98	2,92
17	2,85
17,02	2,79
17,04	2,72
17,06	2,66
17,08	2,61
17,1	2,58
17,12	2,57
17,14	2,54
17,16	2,49
17,18	2,42
17,2	2,36
17,22	2,32
17,24	2,28
17,26	2,25
17,28	2,25
17,3	2,31
17,32	2,43
17,34	2,55
17,36	2,58
17,38	2,58
17,4	2,61
17,42	2,63
17,44	2,65
17,46	2,70
17,48	2,73
17,5	2,79
17,52	2,80
17,54	2,71
17,56	2,57
17,58	2,51
17,6	2,42
17,62	2,30
17,64	2,27
17,66	2,30
17,68	2,28
17,7	2,28
17,72	2,36
17,74	2,58
17,76	2,85
17,78	3,04
17,8	3,21
17,82	3,33
17,84	3,36
17,86	3,33
17,88	3,26
17,9	3,15
17,92	3,01
17,94	2,87
17,96	2,79
17,98	2,70
18	2,67
18,02	2,73
18,04	2,90
18,06	3,12
18,08	3,34
18,1	3,52
18,12	3,64
18,14	3,67
18,16	3,64
18,18	3,61
18,2	3,53
18,22	3,34
18,24	3,17
18,26	2,95
18,28	2,75
18,3	2,69
18,32	2,67
18,34	2,72
18,36	2,81
18,38	2,90
18,4	2,99
18,42	2,98
18,44	2,91
18,46	2,85
18,48	2,79
18,5	2,78
18,52	2,79
18,54	2,80
18,56	2,84
18,58	2,92
18,6	3,01
18,62	3,05
18,64	3,05
18,66	3,11
18,68	3,19
18,7	3,31
18,72	3,52
18,74	3,87
18,76	4,43
18,78	5,33
18,8	6,47
18,82	7,58
18,84	9,13
18,86	10,62
18,88	12,23
18,9	13,88
18,92	15,51
18,94	17,04
18,96	18,56
18,98	19,95
19	21,06
19,02	21,94
19,04	22,61
19,06	23,04
19,08	23,19
19,1	22,99
19,12	22,43
19,14	21,70
19,16	20,80
19,18	19,84
19,2	19,02
19,22	18,49
19,24	18,15
19,26	18,03
19,28	17,97
19,3	17,81
19,32	17,60
19,34	17,36
19,36	17,10
19,38	17,16
19,4	17,49
19,42	17,80
19,44	18,07
19,46	18,50
19,48	19,04
19,5	19,65
19,52	19,96
19,54	19,80
19,56	19,30
19,58	18,65
19,6	18,04
19,62	17,45
19,64	16,82
19,66	16,18
19,68	15,35
19,7	14,54
19,72	13,73
19,74	12,82
19,76	11,72
19,78	10,73
19,8	10,11
19,82	9,95
19,84	10,00
19,86	10,07
19,88	10,35
19,9	10,77
19,92	11,13
19,94	11,36
19,96	11,63
19,98	11,83
20	11,82
20,02	11,45
20,04	10,88
20,06	10,38
20,08	9,86
20,1	9,06
20,12	7,78
20,14	6,71
20,16	5,85
20,18	5,07
20,2	4,76
20,22	5,33
20,24	6,73
20,26	8,35
20,28	9,49
20,3	10,06
20,32	10,53
20,34	10,99
20,36	11,35
20,38	11,58
20,4	11,47
20,42	11,17
20,44	10,77
20,46	10,54
20,48	10,34
20,5	10,16
20,52	10,14
20,54	10,44
20,56	11,31
20,58	12,47
20,6	13,84
20,62	15,11
20,64	16,13
20,66	16,69
20,68	16,94
20,7	17,00
20,72	16,97
20,74	17,01
20,76	16,94
20,78	16,82
20,8	16,54
20,82	16,41
20,84	16,38
20,86	16,70
20,88	17,47
20,9	18,78
20,92	19,98
20,94	21,08
20,96	21,80
20,98	21,97
21	21,74
21,02	21,26
21,04	20,69
21,06	20,25
21,08	20,10
21,1	20,27
21,12	20,94
21,14	22,11
21,16	23,41
21,18	24,49
21,2	24,55
21,22	24,11
21,24	22,79
21,26	20,84
21,28	18,64
21,3	16,21
21,32	14,31
21,34	12,92
21,36	12,15
21,38	11,77
21,4	11,74
21,42	12,16
21,44	12,78
21,46	13,61
21,48	14,39
21,5	15,51
21,52	17,07
21,54	19,29
21,56	22,13
21,58	24,85
21,6	27,18
21,62	29,57
21,64	32,81
21,66	35,11
21,68	36,48
21,7	37,02
21,72	37,64
21,74	38,59
21,76	39,13
21,78	39,00
21,8	38,35
21,82	37,28
21,84	35,97
21,86	34,08
21,88	32,10
21,9	30,56
21,92	29,36
21,94	28,73
21,96	28,65
21,98	28,70
22	28,91
22,02	30,14
22,04	31,40
22,06	32,36
22,08	33,40
22,1	34,55
22,12	36,03
22,14	38,10
22,16	39,98
22,18	41,73
22,2	42,60
22,22	43,30
22,24	44,41
22,26	46,34
22,28	48,54
22,3	50,42
22,32	51,45
22,34	51,98
22,36	52,22
22,38	52,05
22,4	51,88
22,42	51,40
22,44	50,55
22,46	49,86
22,48	49,48
22,5	49,32
22,52	48,83
22,54	47,94
22,56	47,00
22,58	46,16
22,6	45,60
22,62	45,17
22,64	45,36
22,66	46,08
22,68	47,00
22,7	48,15
22,72	49,40
22,74	50,84
22,76	52,19
22,78	52,82
22,8	52,83
22,82	52,68
22,84	52,47
22,86	52,28
22,88	51,94
22,9	51,42
22,92	50,42
22,94	49,07
22,96	47,18
22,98	44,86
23	42,93
23,02	41,55
23,04	40,62
23,06	40,04
23,08	39,45
23,1	39,44
23,12	39,16
23,14	38,13
23,16	36,97
23,18	35,70
23,2	34,52
23,22	32,97
23,24	30,55
23,26	27,67
23,28	24,63
23,3	22,07
23,32	20,07
23,34	18,20
23,36	16,85
23,38	15,98
23,4	15,05
23,42	14,16
23,44	13,12
23,46	11,52
23,48	9,52
23,5	7,72
23,52	6,30
23,54	5,27
23,56	4,70
23,58	4,21
23,6	3,79
