Projektnummer           	19038			
Sondierung              	CPTu_19			
Projektbezeichnung      				
Datum der Sondierung    	17-Sep-2019			
				
   Tiefe	    Conus	  Reibung	 PW-Druck	       Rf
     (m)	    (MPa)	    (MPa)	    (MPa)	      (%)
0	0	0	0	0
0,02	0,9362	0,0001	0,5628	0
0,04	1,8594	0,0001	0,5628	0
0,06	2,4917	0,0072	-0,0001	0,3026
0,08	2,8857	0,0109	-0,0003	0,3695
0,1	3,7107	0,0141	0,0002	0,399
0,12	4,2184	0,0173	0,0001	0,4284
0,14	4,8551	0,02	0,0002	0,4507
0,16	5,2881	0,0226	0,0001	0,4705
0,18	5,5658	0,0252	-0,0001	0,4904
0,2	5,8686	0,0278	-0,0002	0,5102
0,22	6,1829	0,0327	-0,0004	0,5852
0,24	6,6133	0,0393	-0,0008	0,6167
0,26	7,2569	0,0481	-0,0012	0,7526
0,28	7,9006	0,056	-0,0016	0,8762
0,3	8,5442	0,064	-0,0021	1,0023
0,32	9,2757	0,0703	-0,002	0,7771
0,34	10,3384	0,0727	-0,0016	0,7106
0,36	11,2247	0,0812	-0,0009	0,7271
0,38	12,298	0,099	-0,0002	0,81
0,4	13,7919	0,1101	-0,0001	0,8047
0,42	15,7748	0,1186	-0,0002	0,7627
0,44	17,7584	0,13	-0,0002	0,7402
0,46	19,1066	0,1486	-0,0001	0,7854
0,48	20,7522	0,1639	0	0,8018
0,5	21,737	0,1703	0	0,7895
0,52	22,2777	0,1803	0	0,8147
0,54	22,47	0,1859	0	0,827
0,56	22,085	0,1909	0	0,8588
0,58	21,6654	0,1938	-0,0001	0,8892
0,6	20,9585	0,1907	-0,0002	0,9001
0,62	20,0946	0,1872	-0,0002	0,9211
0,64	19,1947	0,1792	0	0,923
0,66	18,1784	0,1676	0,0001	0,9096
0,68	17,1254	0,1559	0,0001	0,8973
0,7	16,1477	0,1463	0,0001	0,8934
0,72	15,7427	0,143	0	0,9058
0,74	15,8437	0,1432	0	0,9089
0,76	15,9076	0,1413	0	0,8868
0,78	15,3742	0,138	-0,0011	0,8809
0,8	14,4409	0,1293	-0,0003	0,8679
0,82	13,5919	0,1191	0	0,8536
0,84	12,9406	0,1116	0	0,8417
0,86	12,1092	0,1092	0	0,8736
0,88	11,23	0,1079	-0,0001	0,9325
0,9	10,48	0,1029	-0,0001	0,9519
0,92	9,839	0,0898	-0,0002	0,8868
0,94	9,2608	0,0754	-0,0003	0,7959
0,96	8,7212	0,067	-0,0003	0,749
0,98	8,1543	0,0627	-0,0002	0,7468
1	7,5893	0,0597	-0,0002	0,7611
1,02	7,0825	0,0557	-0,0002	0,7566
1,04	6,5757	0,0496	-0,0002	0,705
1,06	6,1448	0,0435	-0,0003	0,6535
1,08	5,7643	0,0374	-0,0003	0,6019
1,1	5,449	0,0312	-0,0003	0,5503
1,12	5,2171	0,0304	-0,0004	0,5749
1,14	5,0877	0,0322	-0,0005	0,622
1,16	4,978	0,0332	-0,0005	0,6407
1,18	4,8684	0,0333	-0,0006	0,6428
1,2	4,7587	0,0338	-0,0007	0,6527
1,22	4,6488	0,0344	-0,0007	0,7096
1,24	4,5228	0,0343	-0,0007	0,7506
1,26	4,4066	0,0327	-0,0007	0,7372
1,28	4,3039	0,0308	-0,0008	0,709
1,3	4,2191	0,0297	-0,0008	0,7007
1,32	4,1013	0,0308	-0,0008	0,7432
1,34	3,9195	0,0349	-0,0008	0,8749
1,36	3,7852	0,0421	-0,0008	1,1003
1,38	3,5995	0,0489	-0,0008	1,3334
1,4	3,3909	0,0545	-0,0006	1,572
1,42	3,1731	0,0643	-0,0007	1,9685
1,44	2,8722	0,0711	-0,0007	2,3745
1,46	2,6732	0,0719	-0,0007	2,6294
1,48	2,5523	0,0696	-0,0008	2,6795
1,5	2,6051	0,0666	-0,0006	2,6156
1,52	2,7983	0,0667	-0,0002	2,4536
1,54	2,9324	0,0699	-0,0008	2,4148
1,56	3,1247	0,0742	-0,0026	2,424
1,58	3,1672	0,0829	-0,0035	2,6172
1,6	3,2353	0,094	-0,0082	2,9361
1,62	3,2399	0,1069	-0,0208	3,296
1,64	3,2538	0,1206	-0,0239	3,7138
1,66	3,2432	0,1302	-0,0181	3,9931
1,68	3,1275	0,1337	-0,0116	4,2036
